level,pictureUrl,exerciseName,words,noiseLevel,noiseUrl
11,school,В школе /+голоса/,(секундомер соревнование эстафета снаряд трибуна свисток инструмент выпускной учительская),50,voices
1,math,Математика,(один три пять семь девять одиннадцать),0,
2,math,Математика,(ноль два четыре шесть восемь десять),0,
3,math,Математика,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),0,
4,math,Математика,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),0,
5,math,Математика,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),0,
6,math,Математика,(линия равно плюс минус умножение деление),0,
7,math,Математика,(пример линейка упражнение решать считать круг),0,
8,math,Математика,(математика сумма задача линейка сантиметр миллиметр),0,
9,math,Математика,(циркуль метр килограмм грамм дециметр тонна центнер),0,
10,math,Математика,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),0,
1,math,Математика /+малый шум/,(один три пять семь девять одиннадцать),0,6
2,math,Математика /+малый шум/,(ноль два четыре шесть восемь десять),0,6
3,math,Математика /+малый шум/,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),0,6
4,math,Математика /+малый шум/,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),0,6
5,math,Математика /+малый шум/,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),0,6
6,math,Математика /+малый шум/,(линия равно плюс минус умножение деление),0,6
7,math,Математика /+малый шум/,(пример линейка упражнение решать считать круг),0,6
8,math,Математика /+малый шум/,(математика сумма задача линейка сантиметр миллиметр),0,6
9,math,Математика /+малый шум/,(циркуль метр килограмм грамм дециметр тонна центнер),0,6
10,math,Математика /+малый шум/,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),0,6
1,math,Математика /+средний шум/,(один три пять семь девять одиннадцать),0,20
2,math,Математика /+средний шум/,(ноль два четыре шесть восемь десять),0,20
3,math,Математика /+средний шум/,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),0,20
4,math,Математика /+средний шум/,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),0,20
5,math,Математика /+средний шум/,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),0,20
