level,code,exerciseName,words,noiseLevel,noiseUrl
18,animals,Мир животных /+шум толпы/,(сова кукушка ласточка страус соловей чайка),70,crowd
19,animals,Мир животных /+шум толпы/,(воробей сорока ворона голубь снегирь синица),70,crowd
20,animals,Мир животных /+шум толпы/,(жук бабочка муха комар стрекоза мошка),70,crowd
21,animals,Мир животных /+шум толпы/,(окунь щука сом форель карп плотва),70,crowd
22,animals,Мир животных /+шум толпы/,(змея ящерица жаба крокодил уж черепаха),70,crowd
23,animals,Мир животных /+шум толпы/,(утконос бизон зубр тетерев соболь як шершень сверчок скат),70,crowd
24,animals,Мир животных /+шум толпы/,(тритон шакал дикобраз бурундук морж цесарка тля богомол касатка),70,crowd
25,animals,Мир животных /+шум толпы/,(бегать прыгать летать охотиться спать лежать),70,crowd
1,transport,Транспорт,(автомобиль велосипед скутер),0,
2,transport,Транспорт,(автобус такси поезд),0,
3,transport,Транспорт,(грузовик фура мусоровоз),0,
4,transport,Транспорт,(автомобиль велосипед мотоцикл самокат скутер велобег),0,
5,transport,Транспорт,(автобус троллейбус трамвай метро такси поезд),0,
6,transport,Транспорт,(грузовик фургон фура мусоровоз лесовоз автовоз),0,
7,transport,Транспорт,(кран экскаватор погрузчик бульдозер каток цементовоз),0,
8,transport,Транспорт,(самолёт вертолёт аэроплан ракета дирижабль пароход),0,
9,transport,Транспорт,(корабль лодка катер катамаран парусник яхта),0,
10,transport,Транспорт,(паровоз вагон кабина место билет проход),0,
11,transport,Транспорт,(водитель машинист пилот капитан проводник стюардесса),0,
12,transport,Транспорт,(греметь ехать останавливаться лететь рыть катиться),0,
13,transport,Транспорт,(гараж ангар депо автопарк вокзал аэропорт порт пристань платформа),0,
14,transport,Транспорт,(карета телега повозка кибитка турникет перрон палуба контролёр эскалатор),0,
15,transport,Транспорт /+шум города/,(автомобиль велосипед мотоцикл самокат скутер велобег),70,city
16,transport,Транспорт /+шум города/,(автобус троллейбус трамвай метро такси поезд),70,city
17,transport,Транспорт /+шум города/,(грузовик фургон фура мусоровоз лесовоз автовоз),70,city
18,transport,Транспорт /+шум города/,(кран экскаватор погрузчик бульдозер каток цементовоз),70,city
19,transport,Транспорт /+шум города/,(самолёт вертолёт аэроплан ракета дирижабль пароход),70,city
20,transport,Транспорт /+шум города/,(корабль лодка катер катамаран парусник яхта),70,city
21,transport,Транспорт /+шум города/,(паровоз вагон кабина место билет проход),70,city
22,transport,Транспорт /+шум города/,(водитель машинист пилот капитан проводник стюардесса),70,city
23,transport,Транспорт /+шум города/,(греметь ехать останавливаться лететь рыть катиться),70,city
24,transport,Транспорт /+шум города/,(гараж ангар депо автопарк вокзал аэропорт порт пристань платформа),70,city
25,transport,Транспорт /+шум города/,(карета телега повозка кибитка турникет перрон палуба контролёр эскалатор),70,city
1,colors,Цвета и форма,(красный синий зелёный),0,
2,colors,Цвета и форма,(оранжевый коричневый фиолетовый),0,
3,colors,Цвета и форма,(круг квадрат треугольник),0,
4,colors,Цвета и форма,(красный синий зелёный жёлтый белый чёрный),0,
5,colors,Цвета и форма,(оранжевый коричневый фиолетовый розовый голубой серый),0,
6,colors,Цвета и форма,(круг квадрат треугольник овал шестиугольник прямоугольник),0,
7,colors,Цвета и форма,(месяц звезда сердце прямая кривая ломаная),0,
8,colors,Цвета и форма,(трапеция ромб многоугольник четырёхугольник пятиугольник круг),0,
9,colors,Цвета и форма,(малюсенький маленький средний большой огромный громадный),0,
10,colors,Цвета и форма,(малиновый салатовый персиковый бежевый молочный алый),0,
11,colors,Цвета и форма,(куб шар пирамида конус цилиндр параллелепипед),0,
12,colors,Цвета и форма,(нарисовать обвести вырезать измерить посчитать вычислить),0,
13,colors,Цвета и форма,(сфера призма эллипсоид кольцо параллелограмм луч полукруг полумесяц ромб),0,
14,colors,Цвета и форма,(бордовый сиреневый терракотовый изумрудный хаки фуксия песочный меланж зелёный),0,
15,colors,Цвета и форма /+малый шум/,(красный синий зелёный жёлтый белый чёрный),6,
