level,code,exerciseName,words,noiseLevel,noiseUrl
3,music,Music,(horn banjo lyric),0,
4,music,Music,(harp voice piano volume guitar violin),0,
5,music,Music,(bass dance diction libretto lyrical melody),0,
6,music,Music,(folk ballet recorder symphony keyboard accordion),0,
7,music,Music,(pitch program saxophone xylophone harmonica imrovise),0,
8,music,Music,(rhythm vocal monotone ukulele baritone orchestra),0,
9,music,Music,(trio phrase monotone overture resonate sequence vibration tambourine annotation),0,
10,music,Music,(beat maracas articulation masterpiece variation virtuoso interpretation impressionistic accompaniment),0,
1,birds,Birds,(gull owl swan),0,
2,birds,Birds,(crow swift hawk),0,
3,birds,Birds,(owl dove parrot falcon kestrel sparrow),0,
4,birds,Birds,(goose penguin seagull ostrich canary pelican),0,
5,birds,Birds,(eagle turkey pigeon canary seagull flamingo woodpecker albatross nightingale),0,
1,jewelry,Jewelry,(pin charm opal),0,
2,jewelry,Jewelry,(ring chain locket),0,
3,jewelry,Jewelry,(stud topaz badge pearl bead cuff-links),0,
4,jewelry,Jewelry,(clasp ruby brooch pendant earring bracelet),0,
5,jewelry,Jewelry,(crown onyx bangle necklace hairpin diamond jewellery medallion sapphire),0,
1,history,History,(tax queen arrow),0,
2,history,History,(bow govern armies),0,
3,history,History,(era triumph history republic century kingdom),0,
4,history,History,(king defeat citizen warrior crusader empire),0,
5,history,History,(reign slavery barbarian chronology architecture civilization devastate exploitation imperialism),0,
1,actions,Actions,(ask sew jump),0,
2,actions,Actions,(cry walk snore),0,
3,actions,Actions,(hug fly smell),0,
4,actions,Actions,(act bow see march bake float),0,
5,actions,Actions,(run clap zip set look dive),0,
6,actions,Actions,(skip win knit pull come bite),0,
7,actions,Actions,(eat plan talk cook brush coach),0,
8,actions,Actions,(drink buy stack eat type scream),0,
9,actions,Actions,(lie cry build wash shake invent),0,
10,actions,Actions,(shop cut stop mix study solve),0,
11,actions,Actions,(crawl dig kiss give open answer),0,
12,actions,Actions,(turn climb sing dream write sleep),0,
13,actions,Actions,(think ski draw ride speak close break cough whistle),0,
14,actions,Actions,(yank wash comb laugh fight teach sneeze create describe),0,
1,fruit,Fruits,(fig mango banana),0,
2,fruit,Fruits,(plum lychee orange),0,
3,fruit,Fruits,(apple melon guava),0,
4,fruit,Fruits,(fruit grape quince papaya nectarine avocado),0,
5,fruit,Fruits,(lime olives guava passion jack-fruit dragon-fruit),0,
6,fruit,Fruits,(fig pear apricot banana raspberry pineapple),0,
7,fruit,Fruits,(peach quince blackberry tamarind avocado kiwifruit),0,
8,fruit,Fruits,(cherry melon strawberry nectarine grapefruit passion-fruit),0,
9,fruit,Fruits,(kiwi apricot papaya blueberry mandarin pineapple jack-fruit watermelon pomegranate),0,
10,fruit,Fruits,(plum lemon raspberry coconut dragon-fruit watermelon blackcurrant gooseberry boysenberry),0,
1,plants,Plants,(ivy grass flower),0,
2,plants,Plants,(rose tree poppy),0,
3,plants,Plants,(herbs bush tulip),0,
4,plants,Plants,(weed corn bush orchid poppy flower),0,
5,plants,Plants,(fern seed daisy stigma daffodil jasmine),0,
6,plants,Plants,(reeds log crocus petal sunflower hibiscus),0,
7,plants,Plants,(shrub thistle lily clover bluebell dahlia),0,
8,plants,Plants,(moss iris snowdrop flora peony daylily),0,
9,plants,Plants,(stem grain lotus aster hyacinth dandelion),0,
10,plants,Plants,(leaf trunk sprout basil lavender geranium),0,
11,plants,Plants,(bud roots berry lilac botany cornflower),0,
12,plants,Plants,(stalk branch sepal bamboo mimosa succulent),0,
